NºBorough;Borough;Nº Neighbourhood;Neighbourhood;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
1;Ciutat Vella;1;El Raval;64.7;62.6;62;62;65;65.4;60.3;65.9;75.8;74.6;71.2
1;Ciutat Vella;2;Barrio Gótico;86.5;80.8;94.3;92.3;98.8;99.7;103.6;98.5;108.5;110.5;106.1
1;Ciutat Vella;3;La Barceloneta;66.7;65.9;64.4;72.6;73.1;69;82.1;84.5;76.6;84.8;79.6
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;80.2;81.8;88.8;91.2;86.1;89.3;91.2;92.5;96.4;97.8;99.4
2;Eixample;5;El Fort Pienc;107.9;108.3;109.1;108.5;97.9;98;99;104.5;104.8;105;106.5
2;Eixample;6;Sagrada Familia;101.8;100.7;98.4;97.3;96.1;95.3;97.5;92.4;95.8;95.9;101.8
2;Eixample;7;La Derecha del Ensanche;137.6;138;143.6;144.1;151.7;150.1;165.7;165.3;165.8;170;175.9
2;Eixample;8;L'Antiga Esquerra de l'Eixample;126.5;122.8;122.6;125.9;121.3;119.2;125.1;127.8;128.9;139.2;137.2
2;Eixample;9;La Nova Esquerra de l'Eixample;116.9;116.6;114.3;115.2;107.7;105.9;108.6;109.1;103.8;105.3;110.2
2;Eixample;10;Sant Antoni;103.8;102.9;99.5;95.4;95.9;94.8;102.5;97.8;98.6;104;104.2
3;Sants-Montjuïc;11;Poble Sec;73.3;70.8;68.7;66.6;73;80.7;71;66.3;74.3;76.1;82.2
3;Sants-Montjuïc;12;La Marina del Prat Vermell;80.4;77.2;74.2;61.9;53;45.9;59.1;39.4;36.9;49.7;40
3;Sants-Montjuïc;13;La Marina de Port;80.2;77.4;75.6;74.4;70.8;67.4;70.9;72;70.4;68.3;69.3
3;Sants-Montjuïc;14;La Font de la Guatlla;90.4;91.7;87.2;82.4;74.6;69.7;77.8;77.6;83.2;84.9;82.9
3;Sants-Montjuïc;15;Hostafrancs;82.7;82.5;81.7;77.9;76.1;72.1;77.2;76.8;82.2;84.6;99
3;Sants-Montjuïc;16;La Bordeta;81.9;80.8;77.4;73.4;71.1;72.9;71.4;76;74.3;73.6;79
3;Sants-Montjuïc;17;Sants-Badal;85.9;84.5;81.4;78.5;77.1;74.3;76.6;79.6;77;74.5;81
3;Sants-Montjuïc;18;Sants;89.5;87.1;85.3;84.4;86.4;85.2;82.6;85.8;88.2;92.3;99
4;Les Corts;19;Les Corts;130.4;131.7;128.9;131.7;126.9;129.6;124.8;125.4;124.5;119.9;120
4;Les Corts;20;La Maternitat i Sant Ramon;127.9;129.8;128.1;125.3;110.6;109.3;118.7;112.6;109.9;114.3;114.2
4;Les Corts;21;Pedralbes;193.6;194.7;198.3;208.4;246;240.7;243.9;251.7;250.5;242.4;248.8
5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;146.4;165.6;172.2;161.9;165.9;177.5;177.8;162.8;151.7;130.8;144.1
5;Sarrià-Sant Gervasi;23;Sarrià;174.9;172.4;176.1;177.8;180.7;189.8;196.1;195.2;199.1;186.6;193.6
5;Sarrià-Sant Gervasi;24;Las Tres Torres;215.3;214.7;222.6;225.8;216.4;215;224;217.8;214.1;211;215.8
5;Sarrià-Sant Gervasi;25;Sant Gervasi-Bonanova;182.2;177.5;184.5;189.5;190.7;187.9;189.6;191.8;188.9;187.5;184.6
5;Sarrià-Sant Gervasi;26;Sant Gervasi-Galvany;187;187.1;195.1;201.1;177.7;176;195.6;192.1;205.1;198.3;192.1
5;Sarrià-Sant Gervasi;27;El Putxet i Farró;150.2;149.1;147.7;150.5;138;138.2;142.2;140.2;141;140.6;144.6
6;Gràcia;28;Vallcarca i els Penitents;113.2;111.9;111.9;104.9;114.4;113.7;103.9;101.6;111.2;112.9;112.5
6;Gràcia;29;El Coll;91.7;90.2;89.7;89;97.3;92.9;83.1;81.6;89;84.4;87
6;Gràcia;30;La Salut;113;111;110.1;111.7;109.8;117.4;113.5;107.3;114.4;116.4;109.9
6;Gràcia;31;Vila de Gràcia;101.9;100.7;98.8;102.8;106.4;102.6;109.5;118.1;106.3;101.5;104.4
6;Gràcia;32;Camp d'en Grassot i Gràcia Nova;104.3;102.6;101.7;100;98.2;98.6;101;103.7;103;108.1;105.7
7;Horta - Guinardó;33;Baix Guinardó;96.6;96.4;92.8;94.9;89.9;85.3;83.6;86.6;90.4;92;92
7;Horta - Guinardó;34;Can Baró;81.2;83.7;81.9;75.3;74.4;81.4;74.2;77.4;88.1;96;83.3
7;Horta - Guinardó;35;El Guinardó;93;92.2;87.8;82.5;85.8;89.8;86.4;82;82.7;80.1;79.1
7;Horta - Guinardó;36;La Font d'en Fargues;103.5;107.7;107.7;104.4;97;107.5;108.6;102;95.2;94.8;92.5
7;Horta - Guinardó;37;El Carmelo;72;69.3;64.9;65.8;62.4;58.5;54.4;56.6;56.9;54.5;54.2
7;Horta - Guinardó;38;La Teixonera;72.2;73.2;73.1;69.5;69;71.3;69;69.6;74.5;75.8;73.7
7;Horta - Guinardó;39;Sant Genís dels Agudells;85.7;86.8;80.5;81.4;81.2;79.6;74.8;80;93.5;86.3;84.1
7;Horta - Guinardó;40;Montbau;85.5;88.6;80;82.2;71.1;76.4;71.5;70;72.3;82.2;79.8
7;Horta - Guinardó;41;La Vall d'Hebrón;96.5;98;98;93;89.1;90.3;87.7;86.9;92.6;87.5;95.8
7;Horta - Guinardó;42;La Clota;89.9;90.5;94.6;81.4;79.5;78.5;85.1;90.1;89.3;91.4;93.5
7;Horta - Guinardó;43;Horta;85.9;87.5;82.1;78.2;78.2;80;83.1;82.2;80.9;80.6;79.8
8;Nou Barris;44;Vilapicina i La Torre Llobeta;83;81.7;80.1;80.4;72.3;71.7;71.1;64;65;63.7;63.8
8;Nou Barris;45;Porta;75.3;74.2;70.2;70.7;63.9;60.5;61.3;58.3;61.4;62.5;64.4
8;Nou Barris;46;Turó de la Peira;65.4;65;57.8;54;58.6;56.4;51.6;50.6;48.8;51.7;51.9
8;Nou Barris;47;Can Peguera;49.8;52.8;43.3;38.4;52.7;53.1;53.1;51;51.1;51.5;51.5
8;Nou Barris;48;La Guineueta;82;82;76.9;71.5;58.9;56.1;54.5;56;55.9;54.4;53.8
8;Nou Barris;49;Canyelles;76.7;75.4;70.9;75.4;70.2;61.1;57;61;55.6;54.4;52.2
8;Nou Barris;50;Les Roquetes;60.9;60.3;55;53.3;53.8;52.8;50.4;50.8;47.8;57;49.7
8;Nou Barris;51;Verdún;63.8;61.9;57.2;55;53.3;49.5;55.6;50.8;55.4;53.8;51.3
8;Nou Barris;52;La Prosperitat;72.6;72.5;66.7;61.5;61.3;60;56.3;53.7;54;55.1;56
8;Nou Barris;53;La Trinitat Nova;53;52.5;51.5;45.8;40.3;38.9;38.5;34.7;35.6;40.6;48.2
8;Nou Barris;54;Torre Baró;58;62.1;65.6;56.9;54.5;52.4;44.7;45.6;47.1;45.1;46.5
8;Nou Barris;55;Ciudad Meridiana;59.4;58.8;53.9;49.7;39.9;37.5;43.2;39.2;34.5;34.3;38.6
8;Nou Barris;56;Vallbona;51.6;59.6;61.2;48.2;53.2;52.6;41.7;39.9;37.8;51.9;40.9
9;Sant Andreu;57;La Trinitat Vella;74.8;76.4;69.9;58.1;49.4;52.2;53.5;45.9;43.1;48.9;47.1
9;Sant Andreu;58;Baró de Viver;44.5;49.9;44.3;39.4;50.8;52.4;61.9;60.5;60.2;72.6;68.9
9;Sant Andreu;59;El Buen Pastor;66.2;64.8;57.1;51.8;63;67.3;71.8;59.6;58;62;65.1
9;Sant Andreu;60;San Andrés;85.9;84.1;82.1;78.6;78;77.6;79.3;76.6;75.6;77;77.7
9;Sant Andreu;61;La Sagrera;88.1;85.3;81.2;80.4;76.7;72.9;74.3;74.9;76.8;77.9;77.1
9;Sant Andreu;62;Congrés i els Indians;86.5;83.6;78.6;76;72.9;72.3;73.7;72.7;70.1;71.7;75.1
9;Sant Andreu;63;Navas;92.9;91;86.9;81.4;74.8;77;75.4;83.3;85.8;84.3;81.6
10;Sant Martí;64;El Camp de l'Arpa del Clot;93.4;92.4;89.2;84.6;82.3;81.2;76.5;80.9;78.7;82.7;81.7
10;Sant Martí;65;El Clot;88.5;89;85.5;82.8;80;78.2;76.9;81;84.7;83.7;83.6
10;Sant Martí;66;El Parc i la Llacuna del Poblenou;103.2;106.2;103.1;97.3;90.9;88.9;93.7;88.6;96.8;92.1;100.4
10;Sant Martí;67;La Vila Olímpica del Poblenou;132.8;133.3;141.1;134.9;146;146.6;151.6;150.8;150.2;162;164.2
10;Sant Martí;68;Poble Nou;94.5;93.6;86.5;86.3;89.2;89.8;89.6;95.4;95.6;98.6;99.9
10;Sant Martí;69;Diagonal Mar i Front Marítim del Poblenou;101.1;104.4;107.9;106.8;122.3;127.4;150.1;168.8;162.5;152.6;150.1
10;Sant Martí;70;El Besòs i el Maresme;61.7;61.1;53.7;53.6;52.9;52.4;53;58.9;54.4;54.7;60.4
10;Sant Martí;71;Provençals del Poblenou;85.7;85.1;82.4;77.1;84.3;80.4;76.1;91.7;102.8;98.7;102.3
10;Sant Martí;72;Sant Martí de Provençals;81.5;80.3;76.6;74.9;65;63.5;66.2;67.6;68.3;68.7;67.4
10;Sant Martí;73;La Verneda i la Pau;74.8;74.3;67.8;68.4;61.8;56.8;56.1;57.2;57.5;58.8;57
